user_id,song_id,played_at,play_count,completed,skipped
user_001,4,2026-04-01T21:15:00,5,true,false
user_001,2,2026-04-02T22:10:00,6,true,false
user_001,9,2026-04-03T20:45:00,7,true,false
user_001,6,2026-04-04T23:20:00,3,true,false
user_001,18,2026-04-05T21:05:00,2,true,false
user_001,12,2026-04-06T22:30:00,1,true,false
user_001,8,2026-04-07T23:00:00,2,true,false
user_001,15,2026-04-08T09:15:00,1,true,false
user_002,1,2026-04-01T17:10:00,6,true,false
user_002,5,2026-04-02T18:20:00,5,true,false
user_002,10,2026-04-03T17:45:00,4,true,false
user_002,16,2026-04-04T19:00:00,5,true,false
user_002,13,2026-04-05T18:30:00,3,true,false
user_002,11,2026-04-06T20:10:00,3,true,false
user_003,3,2026-04-01T16:10:00,5,true,false
user_003,14,2026-04-02T16:40:00,4,true,false
user_003,11,2026-04-03T17:25:00,3,true,false
user_003,5,2026-04-04T18:10:00,2,true,false
